W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
L,46,90,0.511,14,35,0.4,15,18,0.833,11,52,19,4,6,16,20,48,101,0.475,18,40,0.45,8,11,0.727,10,37,23,8,6,6,17
W,50,90,0.556,20,36,0.556,18,26,0.692,11,60,25,6,4,17,17,34,99,0.343,10,45,0.222,21,25,0.84,10,43,14,5,6,11,22
L,41,95,0.432,7,38,0.184,21,29,0.724,17,44,24,7,5,11,21,46,85,0.541,16,27,0.593,22,27,0.815,8,46,27,5,4,15,23
W,51,92,0.554,29,51,0.569,13,15,0.867,10,45,32,14,2,17,22,37,79,0.468,11,37,0.297,12,18,0.667,3,30,23,9,6,21,18
L,40,102,0.392,16,41,0.39,12,13,0.923,16,47,26,14,6,13,25,40,82,0.488,15,39,0.385,24,29,0.828,10,52,25,5,5,22,18
W,42,85,0.494,22,45,0.489,20,30,0.667,5,44,27,16,6,17,19,38,87,0.437,6,26,0.231,14,20,0.7,6,42,18,10,6,20,21
W,49,85,0.576,14,34,0.412,13,16,0.813,7,49,32,6,4,19,18,43,98,0.439,17,40,0.425,12,12,1,6,31,27,9,5,8,17
W,49,90,0.544,19,43,0.442,13,21,0.619,9,47,35,5,4,14,22,38,97,0.392,13,41,0.317,26,30,0.867,15,47,20,6,3,9,20
L,44,98,0.449,13,42,0.31,17,21,0.81,9,45,18,5,5,12,19,49,97,0.505,25,53,0.472,8,13,0.615,10,50,31,6,8,10,18
W,37,84,0.44,12,36,0.333,14,18,0.778,11,45,25,11,4,15,14,36,87,0.414,7,26,0.269,11,16,0.688,14,47,16,6,4,15,18
W,46,91,0.505,13,35,0.371,16,20,0.8,11,43,25,15,7,14,17,39,91,0.429,11,31,0.355,10,13,0.769,15,44,24,5,4,18,13
W,41,85,0.482,19,43,0.442,9,14,0.643,10,48,31,10,9,14,20,36,92,0.391,14,35,0.4,15,22,0.682,13,47,25,8,3,16,19
